劳记使命 牢记使命
X光 X线
阿德满都 加德满都
爱滋病 艾滋病
安祥 安详
按步就班 按部就班
按纳 按捺
胺利酮 氨利酮
案语 按语
暗度陈仓 暗渡陈仓
暗然 黯然
奥大利亚 澳大利亚
拔粹 拔萃
拔号 拨号
拔冗 拨冗
拔云见日 拨云见日
把势 把式
班白 斑白
班驳 斑驳
班配 般配
颁白 斑白
板画 版画
板兰根 板蓝根
板式 版式
版书 板书
饱合 饱和
保镳 保镖
保母 保姆
褓姆 保姆
报怨 抱怨
抱怨到 抱怨道
暴殓 暴殄
爆发户 暴发户
悲催 悲摧
北极州 北极洲
北宋天僖 北宋天禧
备感 倍感
备加 倍加
倍受 备受
奔弛 奔驰
本份 本分
笔划 笔画
笔心 笔芯
必恭必敬 毕恭毕敬
编篡 编撰
鞭僻入里 鞭辟入里
便签 便笺
辨证 辩证
辨症 辨证
辩辞 辩词
辩正 辨正
标竿 标杆
标识 标志
标示 标志
鬓脚 鬓角
禀承 秉承
泊来品 舶来品
勃溪 勃谿
博动 搏动
博动性 搏动性
博亦 博弈
搏奕 博弈
补钉 补丁
不曾想 不承想
不动生色 不动声色
不防 不妨
不蜚 不菲
不符和 不符合
和不来 合不来
不合睦 不和睦
不积蛙步 不积跬步
不记前嫌 不计前嫌
不加思索 不假思索
不尽情理 不近情理
不径而走 不胫而走
不胫而飞 不胫而走
不绝如捋 不绝如缕
不落巢臼 不落窠臼
不明究里 不明就里
不容质疑 不容置疑
不向 不同
不知所踪 不知所终
步曲 部曲
部份 部分
猜迷 猜谜
菜苔 菜薹
菜子 菜籽
蔡廷楷 蔡廷锴
惨澹 惨淡
仓黄 仓皇
仓惶 仓皇
曹睿 曹叡
草管人命 草菅人命
层峦叠嶂 重峦叠嶂
差迟 差池
搀兑 掺兑
搀和 掺和
搀假 掺假
搀杂 掺杂
潺缓 潺湲
产生直接地 产生直接的
颤栗 战栗
常年累月 长年累月
常一口 尝一口
唱到 唱道
潮呼呼 潮乎乎
车箱 车厢
撤消 撤销
澈底 彻底
沉缅 沉湎
陈家赓 陈家庚
称喟 称谓
撑杆 撑竿
撑杆跳 撑竿跳
成份 成分
成规陋习 陈规陃习
成想 承想
承上起下 承上启下
惩一警百 惩一儆百
吃里扒外 吃里爬外
侈糜 侈靡
冲灵之主 冲龄之主
崇桢帝 崇祯帝
抽苔 抽薹
筹画 筹划
筹马 筹码
踌蹰 踌躇
出谋画策 出谋划策
出奇不意 出其不意
出师不力 出师不利
怵目惊心 触目惊心
触楣头 触霉头
憷场 怵场
穿流不息 川流不息
船驳 船舶
喘嘘嘘 喘吁吁
串连 串联
床第之私 床笫之私
创痍 疮痍
吹毛求刺 吹毛求疵
春米 舂米
纯朴 淳朴
唇枪舌箭 唇枪舌剑
唇枪舌战 唇枪舌剑
醇厚 淳厚
婥约 绰约
词赋 辞赋
磁器 瓷器
刺谬 剌谬
赐与 赐予
赐与 赐予
凑和 凑合
凑效 奏效
粗旷 粗犷
粗卢 粗鲁
崔促 催促
璀灿 璀璨
蹉砣 蹉跎
搭当 搭档
搭挡 搭档
搭赸 搭讪
达磨 达摩
